"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Domantas Sabonis","IND","PF,C","17.8","11.9","4.5","0.5","0.7",".544",".725","0.4","66","33.6","2.6"
"Jaren Jackson Jr.","MEM","PF,C","17.8","5.0","1.4","1.6","0.8",".483",".736","2.4","56","29.5","1.8"
"Victor Oladipo","IND","PG,SG","17.6","4.9","4.2","0.3","1.4",".426",".793","2.0","63","31.5","2.6"
"Mike Conley","UTH","PG","17.6","3.3","5.4","0.2","1.0",".432",".836","2.3","63","31.7","2.0"
"Christian Wood","HOU","PF,C","17.5","8.2","1.2","1.2","0.7",".536",".751","1.3","67","29.6","1.7"
"RJ Barrett","NYK","SG,SF","17.4","5.3","3.1","0.3","1.0",".426",".650","1.4","68","32.7","2.5"
"Ben Simmons","PHI","PG","17.4","8.3","8.3","0.7","1.9",".579",".616","0.0","66","35.1","3.3"
"Coby White","CHI","PG","17.3","4.0","3.6","0.1","0.9",".413",".805","2.7","68","31.6","2.1"
"Kyle Lowry","TOR","PG","17.2","4.9","7.4","0.4","1.4",".413",".841","2.7","64","34.6","2.9"
"Evan Fournier","ORL","SG,SF","17.1","2.8","3.2","0.2","1.0",".450",".813","2.4","67","31.3","1.9"
"Chris Paul","PHO","PG","17.0","4.7","7.2","0.2","1.6",".475",".900","1.8","64","30.8","2.4"
"Lou Williams","LAC","PG,SG","17.0","2.8","5.0","0.2","0.7",".426",".869","1.6","67","27.0","2.4"
"Lauri Markkanen","CHI","PF","17.0","7.4","1.5","0.5","0.8",".431",".848","2.4","62","32.2","1.6"
"Danilo Gallinari","ATL","SF,PF","16.8","5.2","2.0","0.2","0.7",".446",".897","2.5","63","28.4","1.3"
"Derrick Rose","DET","PG,SG","16.8","2.6","4.9","0.3","0.8",".483",".856","0.9","62","26.2","2.3"
"Fred VanVleet","TOR","PG,SG","16.7","3.6","6.1","0.3","1.6",".403",".842","2.6","67","33.9","2.1"
"Bam Adebayo","MIA","PF,C","16.7","10.0","4.8","1.3","1.1",".568",".726","0.0","69","33.1","2.6"
"Jusuf Nurkic","POR","C","16.6","9.9","3.4","1.6","1.0",".504",".778","0.2","64","30.8","2.3"
"Kevin Love","CLE","PF,C","16.6","9.1","2.7","0.3","0.5",".449",".858","2.5","61","30.3","2.3"
"Malcolm Brogdon","IND","PG,SG","16.5","4.5","6.5","0.2","0.7",".459",".889","1.5","64","32.3","2.2"
"Andre Drummond","CLE","PF,C","16.2","13.4","2.0","1.4","1.5",".541",".580","0.2","69","30.7","3.1"
"Michael Porter Jr.","DEN","SF,PF","16.0","6.5","1.3","0.6","0.8",".490",".830","2.1","66","27.3","1.6"
"Caris LeVert","BKN","SG,SF","16.0","3.9","4.0","0.3","1.1",".429",".713","1.5","63","29.3","2.2"
"Montrezl Harrell","LAL","PF,C","15.9","6.4","1.6","1.2","0.7",".611",".654","0.0","68","25.9","1.6"
"Goran Dragic","MIA","PG,SG","15.8","3.2","4.9","0.2","0.7",".441",".785","1.9","59","28.5","2.3"
"Tim Hardaway Jr.","DAL","SG,SF","15.8","3.3","2.0","0.1","0.6",".431",".824","2.7","66","29.6","1.2"
"Dillon Brooks","MEM","SG,SF","15.7","3.4","2.2","0.4","0.9",".411",".806","1.9","69","28.9","1.7"
"Tyler Herro","MIA","SG,SF","15.6","4.5","2.8","0.2","0.7",".431",".853","2.5","67","30.4","1.7"
"Dennis Schroder","LAL","PG","15.6","3.2","4.3","0.2","0.7",".451",".833","1.6","68","29.3","2.2"
"Marvin Bagley III","SAC","PF,C","15.6","7.9","1.0","0.9","0.6",".493",".748","0.5","62","27.6","1.5"
"Eric Gordon","HOU","SG,SF","15.5","2.5","1.8","0.4","0.6",".401",".807","3.0","62","30.6","1.4"
"JJ Redick","NOR","SG","15.4","2.5","2.1","0.2","0.4",".454",".896","2.9","64","27.5","1.2"
"Eric Bledsoe","NOR","PG,SG","15.4","4.5","5.3","0.4","1.2",".488",".780","1.2","65","28.7","2.5"
"Aaron Gordon","ORL","SF,PF","15.3","7.6","3.6","0.6","0.8",".443",".700","1.4","67","32.9","1.7"
"Jonas Valanciunas","MEM","C","15.0","10.5","1.7","1.1","0.4",".575",".752","0.5","67","26.5","1.7"
"Spencer Dinwiddie","BKN","PG,SG","14.9","2.7","4.8","0.2","0.5",".439",".797","1.6","67","26.1","2.1"
"Josh Richardson","DAL","SG,SF","14.9","3.2","3.0","0.6","1.0",".429",".828","2.0","67","32.3","1.7"
"Rudy Gobert","UTH","C","14.9","12.8","1.6","2.0","0.7",".684",".624","0.0","68","33.1","1.8"
"Devonte' Graham","CHA","PG,SG","14.8","2.9","5.9","0.2","0.9",".388",".821","2.8","69","30.3","2.2"
"Harrison Barnes","SAC","SF,PF","14.6","4.5","2.0","0.2","0.6",".455",".808","1.5","70","33.0","1.1"
"Terrence Ross","ORL","SG,SF","14.6","3.3","1.3","0.3","1.0",".409",".854","2.6","68","27.5","1.0"
"Anthony Edwards","MIN","SG","14.4","4.1","2.5","0.4","1.2",".414",".767","1.6","66","29.7","2.0"
"Malik Beasley","MIN","PG,SG","14.4","3.1","1.7","0.2","1.0",".441",".808","2.7","67","28.1","1.2"
"Bogdan Bogdanovic","ATL","SG,SF,PF","14.4","3.2","3.3","0.2","1.0",".437",".779","2.2","66","28.5","1.7"
"Jordan Clarkson","UTH","PG,SG","14.3","2.6","2.1","0.2","0.6",".450",".845","1.9","68","24.0","1.4"
"Jerami Grant","DET","SF,PF","14.1","4.6","1.3","1.0","0.8",".481",".730","1.6","70","31.7","0.9"
"Darius Garland","CLE","PG","14.0","2.1","4.1","0.1","0.8",".416",".870","2.0","68","31.7","2.6"
"Serge Ibaka","LAC","PF,C","14.0","7.8","1.3","1.0","0.4",".507",".740","1.1","65","27.1","1.7"
"Rui Hachimura","WAS","SF,PF ","13.8","6.4","1.8","0.2","0.9",".478",".833","0.6","67","31.8","1.2"
"Davis Bertans","WAS","PF,C","13.6","4.2","1.7","0.6","0.7",".433",".836","3.2","65","28.5","1.1"
"Thomas Bryant","WAS","C","13.5","7.6","1.7","1.1","0.5",".601",".728","0.7","63","27.5","1.2"
"PJ Washington","CHA","SF,PF","13.5","5.7","2.2","0.9","0.9",".466",".679","1.7","68","31.9","1.7"
"Markelle Fultz","ORL","PG,SG","13.5","3.5","5.5","0.2","1.4",".459",".753","0.7","68","30.9","2.1"
"Joe Harris","BKN","SG,SF","13.4","3.9","2.1","0.2","0.5",".494",".773","2.4","68","29.9","1.5"
"LaMelo Ball","CHA","PG,SG","13.4","5.1","6.6","0.2","1.3",".396",".725","1.6","67","30.5","3.0"
"Otto Porter Jr.","CHI","SF,PF","13.4","4.5","2.0","0.5","1.4",".467",".794","1.9","59","28.7","1.1"
"Norman Powell","TOR","SG,SF","13.2","3.3","1.7","0.3","1.0",".481",".839","1.8","63","25.7","1.3"
"Seth Curry","PHI","PG,SG","13.2","2.3","2.2","0.2","0.7",".494",".828","2.4","67","26.6","1.2"
"Clint Capela","ATL","PF,C","13.0","10.6","1.3","1.5","0.7",".620",".559","0.0","65","29.6","1.4"
"Duncan Robinson","MIA","SG,SF","13.0","3.1","1.4","0.2","0.5",".466",".909","3.6","69","29.2","0.9"
"Brandon Clarke","MEM","PF,C","13.0","6.3","1.5","1.0","0.6",".615",".770","0.4","67","23.8","1.1"
"Myles Turner","IND","PF,C","12.7","6.8","1.3","2.2","0.8",".470",".756","1.4","66","29.7","1.3"
"Kendrick Nunn","MIA","PG,SG","12.7","2.9","2.8","0.2","0.7",".440",".862","1.7","67","24.4","1.4"
"Terry Rozier","CHA","PG,SG","12.7","3.4","3.0","0.2","0.8",".413",".843","2.0","68","25.5","1.6"
"Obi Toppin","NYK","SF,PF","12.7","5.9","1.4","0.8","0.7",".507",".713","0.8","68","26.8","1.6"
"Cole Anthony","ORL","PG","12.6","2.4","3.4","0.1","0.9",".418",".775","2.1","60","26.3","2.2"
"Marcus Morris","LAC","SF,PF,C ","12.6","4.5","1.2","0.3","0.6",".442",".848","1.8","67","26.6","1.2"
"Al Horford","OKC","PF,C","12.5","6.9","3.8","0.9","0.7",".467",".813","1.3","66","29.4","1.4"
"Derrick White","SAS","PG,SG","12.5","3.6","4.1","0.9","0.9",".466",".846","1.2","60","28.4","1.5"
"Alec Burks","NYK","PG,SG,SF","12.5","4.1","2.5","0.3","0.8",".409",".880","1.5","65","25.6","1.3"
"Kevin Knox","NYK","SF,PF","12.4","4.4","1.3","0.5","0.5",".406",".705","1.6","67","28.4","1.3"
"Robert Covington","POR","PF,C,SF","12.4","6.5","1.3","1.2","1.5",".431",".792","2.3","67","31.6","1.4"
"Isaiah Thomas","WAS","PG","12.2","1.7","3.6","0.1","0.4",".397",".812","1.8","53","22.8","2.0"
"Kevin Porter Jr.","CLE","SG","12.2","3.5","2.6","0.3","1.0",".451",".753","1.4","64","26.6","2.2"
"DeMarcus Cousins","HOU","PF,C","12.2","5.9","2.7","1.2","1.1",".462",".731","0.9","51","24.2","2.4"
"Marcus Smart","BOS","PG,SG","12.1","3.7","4.4","0.5","1.6",".385",".818","2.2","67","31.8","1.8"
"Steven Adams","NOR","C","12.0","9.4","2.1","1.1","1.0",".601",".566","0.1","70","29.2","1.7"
"Brook Lopez","MIL","C","12.0","4.6","1.4","2.1","0.6",".444",".831","1.8","67","27.8","1.0"
"Will Barton","DEN","SG,SF","12.0","4.9","3.0","0.4","0.8",".440",".775","1.5","65","27.3","1.4"
"Wendell Carter Jr.","CHI","C","12.0","9.0","1.5","1.1","0.8",".517",".763","0.2","65","30.6","1.6"
"Lonzo Ball","NOR","PG","11.9","6.3","6.9","0.6","1.5",".413",".571","2.3","67","32.3","2.8"
"Malik Monk","CHA","PG,SG","11.9","3.2","2.4","0.3","0.5",".424",".827","1.4","63","24.6","1.6"
"Kyle Kuzma","LAL","SF,PF","11.9","4.0","1.4","0.4","0.4",".455",".747","1.2","67","23.7","1.3"
"Killian Hayes","DET","PG,SG","11.9","3.0","4.9","0.2","1.2",".428",".836","1.2","66","27.5","2.5"
"Aaron Nesmith","BOS","SG,SF","11.9","2.9","2.1","0.4","0.7",".442",".889","2.6","66","24.2","1.4"
"Cedi Osman","CLE","SF,PF","11.9","4.0","2.5","0.2","0.8",".438",".719","1.8","67","31.4","1.5"
"Dejounte Murray","SAS","PG,SG","11.9","5.6","4.4","0.3","1.8",".465",".806","0.6","67","27.6","2.1"
"Miles Bridges","CHA","SF,PF","11.8","5.0","1.7","0.7","0.7",".445",".797","1.3","70","28.6","1.3"
"Trey Burke","DAL","PG","11.6","2.0","3.5","0.1","0.6",".451",".784","1.1","63","21.7","0.9"
"Ricky Rubio","MIN","PG","11.4","3.8","6.7","0.2","1.4",".409",".856","1.1","66","28.2","2.4"
"Darius Bazley","OKC","SF,PF","11.4","6.2","1.3","1.1","0.7",".420",".707","1.6","66","27.6","1.3"
"Jarrett Culver","MIN","PG,SG,SF","11.3","3.8","1.9","0.7","1.0",".435",".646","1.3","66","26.7","1.4"
"Paul Millsap","DEN","PF,C","11.2","5.8","1.7","0.6","0.9",".482",".796","0.9","63","24.7","1.4"
"Luke Kennard","LAC","SG,SF","11.2","3.1","2.6","0.2","0.5",".452",".850","1.9","63","26.1","1.2"
"Jeremy Lamb","IND","SG,SF ","11.1","4.4","1.9","0.4","1.1",".454",".860","1.1","56","24.5","1.0"
"Eric Paschall","GSW","SF,PF","11.1","3.4","1.6","0.2","0.4",".542",".783","0.6","68","21.9","1.1"
"Gary Harris","DEN","SG,SF","11.0","2.9","2.1","0.3","1.2",".426",".803","1.3","65","30.3","1.3"
"Aron Baynes","TOR","C","11.0","6.6","1.6","0.7","0.3",".477",".760","1.2","63","25.3","1.3"
"Kira Lewis","NOR","PG","10.9","2.6","4.1","0.1","0.9",".423",".779","1.0","63","20.3","2.2"
"Hassan Whiteside","SAC","PF,C","10.9","9.3","0.8","1.8","0.4",".593",".625","0.0","64","22.4","1.2"
"Carmelo Anthony","POR","SF,PF","10.9","5.0","1.2","0.3","0.5",".445",".842","1.1","66","23.7","1.1"
"Jae Crowder","PHO","SF,PF","10.8","5.3","1.9","0.3","1.0",".404",".764","2.0","67","28.3","1.0"
"Reggie Jackson","LAC","PG,SG","10.8","2.0","3.2","0.1","0.4",".425",".857","1.6","63","20.3","1.3"
"Nickeil Alexander-Walker","NOR","SG","10.8","3.5","3.2","0.3","0.5",".410",".714","1.9","61","21.6","1.7"
"Cameron Johnson","PHO","SG,SF","10.7","3.8","1.3","0.4","0.7",".450",".813","2.2","66","25.9","0.8"
"Naz Reid","MIN","C","10.7","4.7","1.3","0.8","0.7",".438",".720","1.2","63","19.6","0.8"
"Deni Avdija","WAS","SG,SF","10.7","3.6","1.8","0.5","0.7",".460",".770","1.2","67","24.0","1.2"
"Rudy Gay","SAS","SF,PF","10.7","5.2","1.7","0.5","0.6",".470",".839","0.9","66","21.8","1.3"
"Allonzo Trier","NYK","SG,PG","10.6","2.7","1.8","0.2","0.4",".458",".804","0.9","55","21.5","1.7"
"Luguentz Dort","OKC","SG","10.6","2.6","1.0","0.2","0.9",".398",".772","1.4","67","28.3","0.9"
"Richaun Holmes","SAC","PF,C","10.6","7.1","0.9","1.1","0.7",".637",".769","0.0","67","23.6","1.0"
"Donte DiVincenzo","MIL","PG,SG","10.5","5.0","2.6","0.3","1.4",".445",".746","1.6","67","26.8","1.5"
"OG Anunoby","TOR","SF,PF","10.5","4.8","1.5","0.6","1.3",".472",".673","1.5","69","29.0","1.2"
"James Wiseman","GSW","C","10.4","6.7","1.1","1.6","0.6",".524",".709","0.0","66","26.8","1.3"
"Glenn Robinson III","SAC","SG,SF","10.3","3.7","1.4","0.2","0.8",".483",".843","1.1","62","25.7","0.8"
"Cody Zeller","CHA","PF,C","10.3","6.4","1.6","0.6","0.7",".530",".691","0.3","63","23.7","1.3"
"Markieff Morris","LAL","PF,C","10.2","4.4","1.5","0.4","0.6",".447",".789","1.4","64","22.6","1.3"
"Jarrett Allen","BKN","PF,C","10.2","8.5","1.4","1.3","0.5",".643",".675","0.0","68","25.5","1.1"
"Taurean Prince","BKN","SF,PF","10.2","4.5","1.7","0.3","0.8",".435",".810","1.8","68","24.2","1.7"
"Anfernee Simons","POR","PG,SG","10.2","2.5","1.7","0.2","0.4",".421",".794","1.3","65","23.7","1.1"
"Ivica Zubac","LAC","C","10.1","8.5","1.3","1.0","0.3",".586",".759","0.0","68","23.8","1.1"
"Jordan McRae","DET","PG,SG","10.1","2.7","2.1","0.4","0.6",".423",".770","1.0","55","18.5","1.0"
"Tyrese Haliburton","SAC","PG,SG","10.1","3.6","3.9","0.3","1.2",".452",".812","1.2","67","25.3","1.9"
"Elfrid Payton","NYK","PG","9.9","4.5","6.7","0.4","1.4",".444",".657","0.5","64","29.1","2.3"
"Jabari Parker","SAC","SF,PF","9.9","4.3","1.4","0.3","0.7",".507",".731","0.6","58","18.0","1.3"
"Dion Waiters","LAL","SG,SF","9.9","2.2","2.3","0.2","0.5",".409",".604","1.9","52","20.9","1.3"
"James Johnson","DAL","SF,PF,C","9.9","4.3","3.1","0.9","0.9",".470",".685","1.1","57","24.7","1.8"
"J.J. Barea","DAL","PG,SG","9.9","2.4","5.1","0.1","0.4",".423",".784","1.3","50","19.0","1.7"
"Cam Reddish","ATL","SG,SF","9.8","3.3","1.3","0.5","0.9",".411",".810","1.3","67","23.5","1.5"
"Moritz Wagner","WAS","PF,C","9.8","5.2","1.4","0.5","0.7",".532",".817","0.8","61","20.5","1.6"
