"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"John Wall","HOU","PG","1,087","217","462","41","80",".433",".725","107","61","1,940","219"
"Montrezl Harrell","LAL","PF,C","1,081","436","109","79","46",".611",".654","0","68","1,764","106"
"Dillon Brooks","MEM","SG,SF","1,081","231","154","26","62",".411",".806","130","69","1,994","118"
"Jusuf Nurkic","POR","C","1,065","634","221","104","67",".504",".778","12","64","1,969","150"
"Danilo Gallinari","ATL","SF,PF","1,060","325","123","11","41",".446",".897","157","63","1,787","82"
"Malcolm Brogdon","IND","PG,SG","1,058","285","413","12","48",".459",".889","99","64","2,066","143"
"Dennis Schroder","LAL","PG","1,058","217","292","14","50",".451",".833","105","68","1,989","147"
"Michael Porter Jr.","DEN","SF,PF","1,056","428","88","41","52",".490",".830","137","66","1,800","106"
"Lauri Markkanen","CHI","PF","1,054","459","94","32","50",".431",".848","150","62","1,996","102"
"Tyler Herro","MIA","SG,SF","1,047","303","187","12","47",".431",".853","165","67","2,036","116"
"Derrick Rose","DET","PG,SG","1,041","159","302","16","47",".483",".856","55","62","1,624","140"
"Tim Hardaway Jr.","DAL","SG,SF","1,040","217","135","8","41",".431",".824","176","66","1,955","82"
"Aaron Gordon","ORL","SF,PF","1,028","506","244","42","55",".443",".700","95","67","2,202","112"
"Harrison Barnes","SAC","SF,PF","1,025","312","139","12","42",".455",".808","106","70","2,309","79"
"Devonte' Graham","CHA","PG,SG","1,019","198","407","13","65",".388",".821","194","69","2,088","155"
"Kemba Walker","BOS","PG ","1,018","217","232","21","49",".431",".858","149","53","1,635","113"
"Rudy Gobert","UTH","C","1,013","872","106","137","47",".684",".624","0","68","2,252","119"
"Kevin Love","CLE","PF,C","1,011","557","165","18","33",".449",".858","150","61","1,849","139"
"Caris LeVert","BKN","SG,SF","1,007","246","253","17","70",".429",".713","96","63","1,848","137"
"Jonas Valanciunas","MEM","C","1,006","701","117","75","28",".575",".752","30","67","1,774","117"
"Eric Bledsoe","NOR","PG,SG","1,003","293","343","26","80",".488",".780","80","65","1,864","164"
"Spencer Dinwiddie","BKN","PG,SG","999","178","323","16","35",".439",".797","105","67","1,747","140"
"Josh Richardson","DAL","SG,SF","999","214","203","39","67",".429",".828","134","67","2,161","117"
"Jaren Jackson Jr.","MEM","PF,C","994","281","78","91","43",".483",".736","134","56","1,651","102"
"Terrence Ross","ORL","SG,SF","992","222","92","21","69",".409",".854","176","68","1,868","71"
"JJ Redick","NOR","SG","988","162","134","12","25",".454",".896","188","64","1,761","79"
"Jerami Grant","DET","SF,PF","988","322","89","71","53",".481",".730","111","70","2,221","64"
"Jordan Clarkson","UTH","PG,SG","973","180","144","16","43",".450",".845","128","68","1,635","95"
"Malik Beasley","MIN","PG,SG","966","205","111","13","64",".441",".808","183","67","1,883","83"
"Marvin Bagley III","SAC","PF,C","964","490","62","58","34",".493",".748","31","62","1,712","96"
"Eric Gordon","HOU","SG,SF","958","156","110","23","38",".401",".807","186","62","1,897","85"
"Anthony Edwards","MIN","SG","954","270","164","29","82",".414",".767","106","66","1,958","135"
"Darius Garland","CLE","PG","953","142","278","6","52",".416",".870","136","68","2,157","175"
"Bogdan Bogdanovic","ATL","SG,SF,PF","948","214","216","15","66",".437",".779","147","66","1,881","115"
"Goran Dragic","MIA","PG,SG","931","187","291","10","40",".441",".785","114","59","1,680","136"
"Rui Hachimura","WAS","SF,PF ","926","432","123","13","60",".478",".833","40","67","2,128","81"
"PJ Washington","CHA","SF,PF","916","388","150","59","63",".466",".679","113","68","2,170","113"
"Markelle Fultz","ORL","PG,SG","915","238","376","15","93",".459",".753","48","68","2,103","145"
"Joe Harris","BKN","SG,SF","912","264","140","16","37",".494",".773","160","68","2,030","99"
"Serge Ibaka","LAC","PF,C","909","507","86","63","28",".507",".740","72","65","1,761","113"
"Duncan Robinson","MIA","SG,SF","896","215","99","14","34",".466",".909","246","69","2,014","60"
"LaMelo Ball","CHA","PG,SG","895","343","442","16","86",".396",".725","106","67","2,045","200"
"Seth Curry","PHI","PG,SG","884","157","144","11","45",".494",".828","159","67","1,782","78"
"Davis Bertans","WAS","PF,C","882","274","109","37","43",".433",".836","206","65","1,854","69"
"Brandon Clarke","MEM","PF,C","869","425","102","64","40",".615",".770","29","67","1,598","72"
"Terry Rozier","CHA","PG,SG","865","234","205","12","57",".413",".843","135","68","1,734","108"
"Obi Toppin","NYK","SF,PF","861","404","98","56","47",".507",".713","56","68","1,820","106"
"Kendrick Nunn","MIA","PG,SG","853","195","185","11","47",".440",".862","113","67","1,637","93"
"Thomas Bryant","WAS","C","851","480","107","71","31",".601",".728","45","63","1,732","78"
"Clint Capela","ATL","PF,C","844","692","83","100","44",".620",".559","0","65","1,923","94"
"Marcus Morris","LAC","SF,PF,C ","844","303","84","23","39",".442",".848","119","67","1,781","80"
"Steven Adams","NOR","C","842","656","145","74","67",".601",".566","4","70","2,044","117"
"Myles Turner","IND","PF,C","841","451","84","147","51",".470",".756","94","66","1,960","88"
"Norman Powell","TOR","SG,SF","833","208","107","21","63",".481",".839","112","63","1,621","84"
"Kevin Knox","NYK","SF,PF","828","295","88","34","34",".406",".705","107","67","1,903","88"
"Robert Covington","POR","PF,C,SF","828","434","85","78","102",".431",".792","152","67","2,116","95"
"Al Horford","OKC","PF,C","827","452","248","62","49",".467",".813","87","66","1,941","91"
"Miles Bridges","CHA","SF,PF","823","347","120","48","46",".445",".797","92","70","2,004","90"
"Alec Burks","NYK","PG,SG,SF","813","264","163","18","55",".409",".880","96","65","1,662","85"
"Marcus Smart","BOS","PG,SG","811","245","292","32","109",".385",".818","145","67","2,129","121"
"Brook Lopez","MIL","C","806","309","95","143","41",".444",".831","119","67","1,860","69"
"Lonzo Ball","NOR","PG","800","424","460","39","97",".413",".571","151","67","2,162","188"
"Kyle Kuzma","LAL","SF,PF","797","270","90","24","27",".455",".747","83","67","1,588","86"
"Cedi Osman","CLE","SF,PF","794","271","168","13","55",".438",".719","124","67","2,101","101"
"Dejounte Murray","SAS","PG,SG","794","376","292","20","120",".465",".806","43","67","1,851","139"
"Otto Porter Jr.","CHI","SF,PF","788","266","119","29","81",".467",".794","110","59","1,694","63"
"Killian Hayes","DET","PG,SG","784","200","324","16","76",".428",".836","78","66","1,818","162"
"Aaron Nesmith","BOS","SG,SF","783","192","139","26","46",".442",".889","171","66","1,597","91"
"Will Barton","DEN","SG,SF","781","315","193","28","50",".440",".775","99","65","1,771","89"
"Kevin Porter Jr.","CLE","SG","780","225","167","20","66",".451",".753","87","64","1,703","138"
"Wendell Carter Jr.","CHI","C","778","585","98","70","50",".517",".763","16","65","1,990","105"
"Cole Anthony","ORL","PG","756","144","204","6","54",".418",".775","123","60","1,578","133"
"Eric Paschall","GSW","SF,PF","753","228","109","12","27",".542",".783","39","68","1,490","76"
"Malik Monk","CHA","PG,SG","752","201","152","19","33",".424",".827","85","63","1,550","101"
"Ricky Rubio","MIN","PG","752","253","439","11","91",".409",".856","73","66","1,862","160"
"Derrick White","SAS","PG,SG","751","216","243","56","53",".466",".846","72","60","1,703","90"
"Darius Bazley","OKC","SF,PF","750","410","88","71","44",".420",".707","106","66","1,824","86"
"Jarrett Culver","MIN","PG,SG,SF","749","250","125","46","65",".435",".646","86","66","1,762","92"
"Trey Burke","DAL","PG","731","126","221","7","38",".451",".784","68","63","1,367","56"
"Jae Crowder","PHO","SF,PF","726","355","125","23","68",".404",".764","133","67","1,896","68"
"OG Anunoby","TOR","SF,PF","723","329","100","40","90",".472",".673","106","69","2,004","84"
"Carmelo Anthony","POR","SF,PF","719","331","78","20","34",".445",".842","74","66","1,567","74"
"Deni Avdija","WAS","SG,SF","718","240","119","31","47",".460",".770","79","67","1,610","82"
"Gary Harris","DEN","SG,SF","716","191","140","18","79",".426",".803","87","65","1,968","83"
"Cameron Johnson","PHO","SG,SF","709","248","86","24","48",".450",".813","145","66","1,712","55"
"Luguentz Dort","OKC","SG","708","174","64","11","62",".398",".772","93","67","1,894","59"
"Richaun Holmes","SAC","PF,C","708","473","63","71","49",".637",".769","0","67","1,584","65"
"Paul Millsap","DEN","PF,C","706","367","104","39","56",".482",".796","59","63","1,555","85"
"Luke Kennard","LAC","SG,SF","706","195","161","11","31",".452",".850","121","63","1,641","74"
"Donte DiVincenzo","MIL","PG,SG","706","335","174","22","95",".445",".746","104","67","1,793","100"
"Rudy Gay","SAS","SF,PF","705","346","115","32","37",".470",".839","60","66","1,436","86"
"Hassan Whiteside","SAC","PF,C","700","596","53","113","26",".593",".625","1","64","1,432","77"
"Aron Baynes","TOR","C","694","418","102","45","21",".477",".760","73","63","1,596","85"
"Jarrett Allen","BKN","PF,C","694","576","94","89","33",".643",".675","2","68","1,736","75"
"Taurean Prince","BKN","SF,PF","693","303","115","21","53",".435",".810","123","68","1,646","115"
"Kira Lewis","NOR","PG","689","164","258","6","56",".423",".779","64","63","1,279","139"
"James Wiseman","GSW","C","689","442","71","103","37",".524",".709","2","66","1,768","88"
"Ivica Zubac","LAC","C","687","580","86","71","19",".586",".759","0","68","1,617","76"
"Reggie Jackson","LAC","PG,SG","682","129","201","6","28",".425",".857","98","63","1,278","80"
"Naz Reid","MIN","C","676","298","81","53","47",".438",".720","78","63","1,233","51"
"Tyrese Haliburton","SAC","PG,SG","674","239","259","17","78",".452",".812","83","67","1,693","125"
"Kentavious Caldwell-Pope","LAL","PG,SG,SF","672","171","104","14","60",".450",".803","108","69","1,768","55"
"Mikal Bridges","PHO","SG,SF","671","272","134","38","104",".477",".857","91","69","2,125","74"
"De'Andre Hunter","ATL","SF","667","279","99","21","44",".436",".791","95","69","1,764","90"
"Mitchell Robinson","NYK","C","665","499","43","146","61",".717",".576","0","68","1,658","46"
"Anfernee Simons","POR","PG,SG","662","162","111","12","26",".421",".794","85","65","1,541","72"
"Isaac Okoro","CLE","SF","661","294","119","33","52",".455",".726","74","68","1,806","78"
"Cam Reddish","ATL","SG,SF","657","222","90","32","61",".411",".810","90","67","1,576","99"
"Nickeil Alexander-Walker","NOR","SG","656","213","195","18","32",".410",".714","113","61","1,318","104"
"Markieff Morris","LAL","PF,C","654","282","95","26","38",".447",".789","87","64","1,446","84"
"Devin Vassell","SAS","SG","652","215","105","31","47",".468",".750","93","67","1,415","69"
"Isaiah Thomas","WAS","PG","649","91","191","5","22",".397",".812","95","53","1,208","106"
"Cody Zeller","CHA","PF,C","647","404","101","37","45",".530",".691","16","63","1,492","84"
"Glenn Robinson III","SAC","SG,SF","637","229","86","11","51",".483",".843","65","62","1,593","51"
"Kevin Huerter","ATL","SG,SF","637","220","187","28","48",".424",".800","118","66","1,668","85"
"Elfrid Payton","NYK","PG","636","286","432","26","89",".444",".657","30","64","1,860","147"
"Daniel Theis","BOS","PF,C","636","447","103","81","38",".554",".764","35","68","1,660","65"
"Delon Wright","DET","PG,SG,SF","633","287","245","24","91",".456",".779","54","66","1,749","82"
"Bobby Portis","MIL","PF,C","631","366","81","19","30",".460",".771","68","65","1,262","68"
"Shabazz Napier","WAS","PG,SG","630","156","234","13","72",".404",".821","86","65","1,391","111"
"Mason Plumlee","DET","PF,C","625","483","205","63","52",".595",".548","2","66","1,577","106"
"Jeremy Lamb","IND","SG,SF ","624","248","108","23","59",".454",".860","59","56","1,371","56"
"Patty Mills","SAS","PG","624","97","119","7","42",".425",".870","122","66","1,311","54"
"DeMarcus Cousins","HOU","PF,C","620","299","138","59","58",".462",".731","46","51","1,234","121"
"Joe Ingles","UTH","SG,SF","619","236","326","11","60",".449",".756","126","69","1,876","124"
"Gary Trent Jr.","POR","SG","609","133","73","19","59",".434",".778","125","66","1,585","46"
"Larry Nance Jr.","CLE","PF,C","608","442","154","33","68",".527",".691","53","64","1,670","78"
"Dwight Powell","DAL","PF,C","605","382","95","40","50",".623",".708","22","65","1,605","56"
"Svi Mykhailiuk","DET","SG,SF","604","130","125","6","46",".417",".741","134","62","1,490","75"
"Bryn Forbes","MIL","PG,SG","603","117","91","3","27",".425",".824","129","65","1,359","49"
"Dario Saric","PHO","PF,C ","603","350","101","13","34",".472",".836","80","66","1,428","80"
"Langston Galloway","PHO","PG,SG","603","138","88","9","40",".422",".863","118","67","1,551","33"
"Maxi Kleber","DAL","PF,C","603","358","77","77","26",".479",".824","102","69","1,722","57"
"Moritz Wagner","WAS","PF,C","598","320","83","30","40",".532",".817","46","61","1,251","100"
"Draymond Green","GSW","PF,C ","596","453","451","59","99",".439",".738","59","66","2,107","166"
"Ish Smith","WAS","PG","593","169","257","19","45",".456",".723","42","67","1,461","73"
"Patrick Williams","CHI","SF","593","248","98","37","64",".466",".750","72","67","1,532","61"
"Troy Brown Jr.","WAS","SG,SF","592","321","157","8","71",".441",".767","57","67","1,506","65"
"E'Twaun Moore","PHO","PG,SG,SF","591","146","100","14","38",".463",".703","77","63","1,373","56"
"Josh Green","DAL","SG,SF","590","237","58","26","64",".434",".783","104","64","1,389","90"
"Nemanja Bjelica","SAC","PF","589","375","132","32","43",".482",".771","94","69","1,519","64"
"Allonzo Trier","NYK","SG,PG","585","149","99","11","22",".458",".804","52","55","1,183","95"
"Jeff Green","BKN","SF,PF,C","584","198","75","24","30",".463",".851","73","66","1,344","63"
"Monte Morris","DEN","PG,SG","584","130","224","10","50",".469",".800","64","69","1,456","44"
"Tristan Thompson","BOS","PF,C ","582","564","115","46","33",".524",".626","6","64","1,570","91"
"D.J. Augustin","MIL","PG","582","143","251","1","33",".453",".882","76","66","1,373","81"
"Thaddeus Young","CHI","SF,PF ","582","297","113","24","81",".474",".630","62","68","1,470","84"
"Danuel House Jr.","HOU","SF,PF,SG","580","247","75","28","55",".438",".765","114","65","1,670","47"
"Josh Hart","NOR","SG,SF","579","337","99","27","62",".429",".726","107","66","1,596","70"
"Doug McDermott","IND","SF,PF","577","137","65","8","13",".487",".826","99","65","1,268","39"
"Josh Okogie","MIN","PG,SG,SF","576","265","105","29","79",".423",".783","57","68","1,689","88"
"Jabari Parker","SAC","SF,PF","575","247","80","18","42",".507",".731","38","58","1,042","73"
"Justin Holiday","IND","SG,SF","574","226","96","37","80",".418",".816","121","69","1,777","53"
"Taj Gibson","NYK","PF,C","565","358","64","33","39",".570",".753","6","65","1,430","59"
"James Johnson","DAL","SF,PF,C","563","245","177","51","51",".470",".685","61","57","1,408","103"
"Dewayne Dedmon","DET","C","561","452","67","67","55",".463",".814","55","61","1,458","85"
"Danny Green","PHI","SG,SF","559","230","89","36","70",".428",".750","127","68","1,719","60"
"Terence Davis","TOR","SG","556","227","125","12","37",".463",".852","95","66","1,248","72"
"Jordan McRae","DET","PG,SG","554","149","116","22","33",".423",".770","56","55","1,018","55"
"George Hill","OKC","PG,SG","553","165","155","10","47",".469",".827","70","66","1,372","62"
"Wesley Matthews","LAL","SG,SF","550","158","98","8","41",".410",".771","111","64","1,632","49"
"Justise Winslow","MEM","PF,SF","548","267","169","18","45",".438",".654","54","58","1,350","84"
"Chris Boucher","TOR","PF,C","546","366","32","79","33",".468",".788","50","64","1,114","36"
"Denzel Valentine","CHI","SG,SF","544","190","112","13","54",".418",".737","102","67","1,208","56"
"Tyler Johnson","BKN","PG,SG","541","153","137","25","40",".412",".767","76","59","1,381","65"
"Ben McLemore","HOU","SG,SF","537","141","55","13","39",".442",".750","134","63","1,291","43"
"Shake Milton","PHI","PG,SG","536","138","144","14","32",".462",".787","78","62","1,242","68"
"Nicolo Melli","NOR","PF","536","237","96","32","44",".441",".746","93","64","1,347","61"
