"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Alex Len","TOR","PF,C","430","361","51","38","22",".530",".651","24","59","903","53"
"Kyle Anderson","MEM","SF,PF","430","333","157","39","62",".491",".648","25","67","1,542","72"
"Al-Farouq Aminu","ORL","SF,PF","427","345","66","24","47",".398",".818","60","61","1,437","49"
"Bol Bol","DEN","PF,C","427","188","45","90","40",".476",".832","44","69","844","80"
"Kris Dunn","ATL","PG,SG,SF ","424","180","213","21","71",".447",".760","33","62","1,250","84"
"JaVale McGee","CLE","C","423","341","31","80","28",".621",".652","0","66","1,042","56"
"James Ennis III","ORL","SG,SF ","421","210","56","20","39",".442",".785","56","67","1,344","50"
"Mike Scott","PHI","SF,PF","420","235","55","7","20",".430",".750","79","67","1,193","41"
"JaMychal Green","DEN","PF,C","419","340","43","23","30",".458",".766","69","67","1,190","55"
"DeAndre' Bembry","TOR","SF,PF,SG","418","238","126","27","77",".452",".603","31","65","1,328","86"
"Marquese Chriss","GSW","PF,C","417","288","73","49","32",".519",".726","15","60","989","59"
"Frank Jackson","OKC","PG","411","105","56","7","19",".412",".769","52","62","949","50"
"Cory Joseph","SAC","PG,SG","410","175","215","15","52",".441",".800","45","69","1,535","60"
"Garrett Temple","CHI","PG,SG,SF","408","198","107","26","40",".391",".755","79","63","1,288","46"
"Mohamed Bamba","ORL","C","407","351","53","98","25",".465",".633","46","65","1,085","55"
"Jake Layman","MIN","SF,PF","405","140","39","22","28",".478",".714","45","56","1,002","39"
"Chandler Parsons","ATL","SF,PF","403","143","95","16","42",".397",".800","71","53","1,065","64"
"Jahlil Okafor","DET","C","403","225","45","36","12",".591",".654","1","62","832","49"
"Juancho Hernangomez","MIN","SF,PF,C","399","254","52","19","29",".416",".694","66","64","1,270","43"
"Maurice Harkless","MIA","SF,PF","395","241","68","43","62",".493",".625","38","62","1,420","50"
"Yogi Ferrell","UTH","PG,SG","393","109","115","6","32",".419",".855","54","64","1,030","38"
"Jakob Poeltl","SAS","C","393","346","92","85","35",".628",".494","0","68","1,194","53"
"Zach Collins","POR","PF,C ","392","299","61","49","22",".489",".757","30","55","1,111","63"
"Jordan McLaughlin","MIN","PG","389","86","216","7","63",".481",".690","50","63","1,084","56"
"Alex Caruso","LAL","SG","384","165","145","23","78",".430",".760","43","66","1,353","74"
"Shaquille Harrison","UTH","PG,SG","382","165","106","24","65",".450",".717","23","59","1,021","41"
"T.J. McConnell","IND","PG","380","174","281","13","56",".512",".800","9","67","1,185","91"
"Dwayne Bacon","ORL","SG","377","153","78","6","30",".391",".688","35","59","1,109","48"
"Timothe Luwawu-Cabarrot","BKN","SG,SF","377","138","42","12","24",".392",".800","61","60","1,056","48"
"Ian Mahinmi","WAS","C","377","307","64","52","45",".504",".648","6","64","1,146","70"
"Michael Carter-Williams","ORL","PG,SG","374","177","143","29","60",".411",".828","24","56","986","69"
"Pat Connaughton","MIL","SG,SF","372","256","101","27","25",".448",".775","52","65","1,213","44"
"Ante Zizic","CLE","C","370","249","37","21","16",".569",".708","0","53","848","48"
"Ryan Arcidiacono","CHI","PG","370","153","165","7","43",".430",".800","65","61","1,354","49"
"Omari Spellman","NYK","PF,C","367","229","49","27","30",".447",".774","41","62","975","48"
"Alen Smailagic","GSW","PF ","360","168","78","22","16",".469",".844","25","56","868","67"
"Emmanuel Mudiay","UTH","PG","359","96","106","9","20",".455",".764","28","42","724","62"
"Wilson Chandler","BKN","SF,PF","359","234","79","23","29",".423",".750","58","57","1,260","50"
"John Henson","DET","PF,C","355","275","77","61","33",".553",".532","11","55","1,001","55"
"Thon Maker","CLE","PF,C","355","216","50","50","31",".441",".673","36","62","1,066","50"
"Kadeem Allen","NYK","SG ","350","90","146","12","34",".441",".748","31","56","829","56"
"Isaiah Stewart","DET","PF,C","350","247","37","45","27",".520",".757","4","65","1,087","67"
"Willie Cauley-Stein","DAL","PF,C","348","287","61","40","35",".587",".589","0","57","902","36"
"Ky Bowman","LAC","PG","347","121","132","11","44",".418",".837","38","55","1,029","72"
"Mike Muscala","OKC","PF,C","347","180","44","19","17",".430",".833","72","63","886","31"
"Dennis Smith Jr.","NYK","PG,SG","345","89","132","11","34",".405",".617","30","40","813","77"
"Quinn Cook","LAL","PG","343","93","75","0","17",".454",".708","50","58","731","41"
"Nassir Little","POR","SF","342","202","44","25","25",".450",".680","33","63","1,090","32"
"Stanley Johnson","TOR","SG,SF","340","163","70","12","45",".376",".785","41","58","986","58"
"Troy Daniels","DEN","PG,SG","338","74","29","7","17",".401",".794","82","57","827","23"
"Nicolas Claxton","BKN","C,PF ","336","217","79","40","7",".570",".545","8","57","935","46"
"Evan Turner","MIN","SG,SF","335","185","156","17","28",".442",".770","11","56","1,109","78"
"Kelan Martin","IND","SG,SF,PF","333","162","41","17","13",".404",".857","44","58","835","35"
"Courtney Lee","DAL","SG,SF","332","93","62","10","36",".452",".844","47","52","915","31"
"Noah Vonleh","CHI","PF,C","332","324","70","27","27",".490",".721","22","54","1,004","49"
"Cody Martin","CHA","G","331","213","129","12","53",".431",".639","29","59","1,221","59"
"Sterling Brown","HOU","SG,SF","331","178","71","12","33",".425",".780","50","61","994","47"
"Terrance Ferguson","PHI","SG,SF","331","97","52","21","32",".404",".773","69","65","1,476","32"
"Georges Niang","UTH","SF,PF","330","109","37","6","13",".459",".853","73","64","749","26"
"Skal Labissiere","ATL","PF,C","327","238","59","43","16",".505",".757","11","54","880","49"
"Michael Kidd-Gilchrist","NYK","SF","326","190","45","25","25",".462",".742","9","50","960","35"
"Jerome Robinson","WAS","SG","326","146","85","19","31",".404",".694","48","61","1,031","48"
"Anthony Tolliver","MEM","SF,PF","324","183","50","19","19",".397",".750","76","63","1,090","38"
"Keita Bates-Diop","SAS","SF,PF","322","149","37","27","27",".424",".697","36","53","896","21"
"Alfonzo McKinnie","LAL","SF,PF","321","217","25","12","31",".457",".620","34","62","998","37"
"Bismack Biyombo","CHA","PF,C","319","276","44","46","10",".551",".619","0","66","956","47"
"Cheick Diallo","PHO","PF,C","314","230","30","24","18",".627",".807","0","59","708","41"
"Meyers Leonard","MIA","PF,C","313","289","49","17","12",".536",".674","51","58","919","40"
"Grant Williams","BOS","PF","313","227","87","47","41",".419",".722","37","67","1,353","68"
"David Nwaba","HOU","SG,SF","309","159","48","21","32",".491",".667","21","53","880","32"
"Justin Anderson","PHI","SF","305","136","35","18","30",".404",".727","42","59","767","30"
"Jevon Carter","PHO","PG","303","101","78","13","44",".399",".844","61","61","923","38"
"Elie Okobo","BKN","PG","301","111","143","6","31",".399",".701","36","62","967","62"
"JaKarr Sampson","IND","SG,SF,PF","301","160","28","23","24",".568",".676","9","63","843","23"
"Torrey Craig","MIL","SG,SF","300","188","46","35","23",".456",".674","41","57","1,049","29"
"Jordan Bell","WAS","PF,C","299","248","89","53","24",".545",".627","5","59","950","59"
"Hamidou Diallo","OKC","SG","297","151","28","11","34",".460",".663","10","56","840","45"
"Solomon Hill","ATL","SG,SF","297","174","99","12","35",".399",".714","56","58","1,096","46"
"Rodney McGruder","DET","SG,SF","295","172","65","12","30",".404",".632","45","59","1,086","35"
"Wesley Iwundu","DAL","SG,SF","295","150","60","18","30",".409",".798","22","60","1,068","30"
"Abdel Nader","PHO","SF,PF","292","108","36","18","24",".432",".757","41","60","810","36"
"Frank Mason III","MIL","PG","287","80","120","5","25",".390",".744","22","50","680","50"
"Kenrich Williams","OKC","SF,PF","285","278","94","31","47",".394",".522","50","59","1,274","34"
"Theo Pinson","NYK","SF,SG","285","100","94","6","30",".391",".871","37","59","667","59"
"Isaac Bonga","WAS","SF,PF","285","218","69","23","42",".472",".800","23","64","1,113","50"
"Andre Iguodala","MIA","SG,SF","280","187","141","40","40",".482",".523","35","63","1,168","44"
"Tim Frazier","DET","PG,SG","277","132","242","6","33",".412",".778","30","55","1,012","83"
"Marko Guduric","MEM","SG","268","112","71","12","18",".406",".875","40","59","732","53"
"Patrick Patterson","LAC","PF,C","268","154","38","13","19",".390",".756","59","64","858","27"
"Kevon Looney","GSW","PF,C","267","219","67","25","37",".528",".689","0","48","804","35"
